id,p_id,p_category,p_title,p_img_small,p_img_medium,p_img_large,p_retail_price,retail_currency,p_productBrand,p_product_url,p_instalk,p_cod
1,LANDZGZSCYCXEGVX,landline_phones,Panasonic PA-KXTG8051 Cordless Landline Phone with Answering Machine(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/g/v/x/panasonic-pa-kxtg8051-original-imadzjx8znnrfg8g.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/g/v/x/panasonic-pa-kxtg8051-original-imadzjx8znnrfg8g.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/g/v/x/panasonic-pa-kxtg8051-original-imadzjx8znnrfg8g.jpeg?q=90,5500,0,Panasonic,https://www.flipkart.com/panasonic-pa-kxtg8051-cordless-landline-phone-answering-machine/p/itmdzgzsn6upgftb?pid=LANDZGZSCYCXEGVX&affid=anoopcomp,1,1
2,LANE5BQYUHX2NJ9K,landline_phones,Panasonic KX-TS500MXWD Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/j/9/k/panasonic-kx-ts500mxwd-original-imae7rtnwqky9pvm.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/j/9/k/panasonic-kx-ts500mxwd-original-imae7rtnwqky9pvm.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/j/9/k/panasonic-kx-ts500mxwd-original-imae7rtnwqky9pvm.jpeg?q=90,910,0,Panasonic,https://www.flipkart.com/panasonic-kx-ts500mxwd-corded-landline-phone/p/itme5bqyqedcqhmh?pid=LANE5BQYUHX2NJ9K&affid=anoopcomp,1,1
3,LANE4DZFEH8GHZ8E,landline_phones,Grandstream GXP2140 Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/z/8/e/grandstream-gxp2140-original-imae4dneb9huc3wh.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/z/8/e/grandstream-gxp2140-original-imae4dneb9huc3wh.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/z/8/e/grandstream-gxp2140-original-imae4dneb9huc3wh.jpeg?q=90,10800,0,Grandstream,https://www.flipkart.com/grandstream-gxp2140-corded-landline-phone/p/itme4dzfzhq8unhx?pid=LANE4DZFEH8GHZ8E&affid=anoopcomp,0,1
4,LANDZGZSFNKEFVHC,landline_phones,Panasonic PA-KXTG5522 Cordless Landline Phone with Answering Machine(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/v/h/c/panasonic-pa-kxtg5522-original-imadzjx8vhwtfhxh.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/v/h/c/panasonic-pa-kxtg5522-original-imadzjx8vhwtfhxh.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/v/h/c/panasonic-pa-kxtg5522-original-imadzjx8vhwtfhxh.jpeg?q=90,6790,0,Panasonic,https://www.flipkart.com/panasonic-pa-kxtg5522-cordless-landline-phone-answering-machine/p/itmdzgzscuvbpbhu?pid=LANDZGZSFNKEFVHC&affid=anoopcomp,1,1
5,LANDUS8ZBUDZFW5Q,landline_phones,"Beetel M73 Stylish Retro Design Corded Landline Phone(White, Red)",https://rukminim1.flixcart.com/image/200/200/j7c7v680/landline-phone/v/2/q/mg-beetel-m73-beetel-original-imadusa8skvchfkx.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/j7c7v680/landline-phone/v/2/q/mg-beetel-m73-beetel-original-imadusa8skvchfkx.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/j7c7v680/landline-phone/v/2/q/mg-beetel-m73-beetel-original-imadusa8skvchfkx.jpeg?q=90,1899,0,Beetel,https://www.flipkart.com/beetel-m73-stylish-retro-design-corded-landline-phone/p/itmdus8zxzbmwhzw?pid=LANDUS8ZBUDZFW5Q&affid=anoopcomp,1,1
6,LANDTKYRBZWGX8ZF,landline_phones,Panasonic PA-KX-TG1613 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/8/z/f/panasonic-pa-kx-tg1613-original-imadthsnsnbjb68q.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/8/z/f/panasonic-pa-kx-tg1613-original-imadthsnsnbjb68q.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/8/z/f/panasonic-pa-kx-tg1613-original-imadthsnsnbjb68q.jpeg?q=90,7200,0,Panasonic,https://www.flipkart.com/panasonic-pa-kx-tg1613-cordless-landline-phone/p/itmdthycku8wctzt?pid=LANDTKYRBZWGX8ZF&affid=anoopcomp,1,1
7,LANDRFSNRDYKF5QY,landline_phones,Panasonic KX-TG 6511 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/5/q/y/panasonic-kx-tg-6511-original-imadrftymma5qwfs.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/5/q/y/panasonic-kx-tg-6511-original-imadrftymma5qwfs.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/5/q/y/panasonic-kx-tg-6511-original-imadrftymma5qwfs.jpeg?q=90,4800,0,Panasonic,https://www.flipkart.com/panasonic-kx-tg-6511-cordless-landline-phone/p/itmdrftwucfz5yvd?pid=LANDRFSNRDYKF5QY&affid=anoopcomp,0,1
8,LANE3BZJNQSFFDSG,landline_phones,Gigaset A450 Cordless Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/d/s/g/gigaset-a450-original-imae4t8cgv2xx2ze.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/d/s/g/gigaset-a450-original-imae4t8cgv2xx2ze.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/d/s/g/gigaset-a450-original-imae4t8cgv2xx2ze.jpeg?q=90,2299,0,Gigaset,https://www.flipkart.com/gigaset-a450-cordless-landline-phone/p/itmeshmfk4nebaav?pid=LANE3BZJNQSFFDSG&affid=anoopcomp,0,1
9,LANEAJNVGQTBQCHW,landline_phones,Gigaset A530 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/c/h/w/gigaset-a530-original-imaeaff3w9jvgn6b.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/c/h/w/gigaset-a530-original-imaeaff3w9jvgn6b.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/c/h/w/gigaset-a530-original-imaeaff3w9jvgn6b.jpeg?q=90,2399,0,Gigaset,https://www.flipkart.com/gigaset-a530-cordless-landline-phone/p/itmeugcbmx9g3dsd?pid=LANEAJNVGQTBQCHW&affid=anoopcomp,0,1
10,LANEFM4RY3GCGVC8,landline_phones,Beetel M53N Corded Landline Phone(Blue),https://rukminim1.flixcart.com/image/200/200/landline-phone/v/c/8/beetel-m53n-original-imaefm4ffzu9zkcg.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/v/c/8/beetel-m53n-original-imaefm4ffzu9zkcg.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/v/c/8/beetel-m53n-original-imaefm4ffzu9zkcg.jpeg?q=90,999,0,Beetel,https://www.flipkart.com/beetel-m53n-corded-landline-phone/p/itmee3s3gugxh7f4?pid=LANEFM4RY3GCGVC8&affid=anoopcomp,1,1
